topic,name,color,page
The blush of Madame de Pompadour's cheeks,Marquise de Pompadour,"7, 29, 36, 0",20
The blush of Madame de Pompadour's cheeks,Presumed Portrait of Madame de Pompadour,"8, 31, 31, 0",20
The blush of Madame de Pompadour's cheeks,"Portrait of Jeanne-Antoinette Poisson, Madame de Pompadour ","3, 33, 34, 0",20
The blush of Madame de Pompadour's cheeks,Portrait of Madame de Pompadour as Diana,"19, 49, 57, 0",20
The blush of Madame de Pompadour's cheeks,The Marquise de Pompadour,"23, 68, 76, 9",20
The blush of Madame de Pompadour's cheeks,Portrait of the Marquise de Pompadour,"26, 33, 33, 0",20
The blush of Madame de Pompadour's cheeks,A Portrait of the Marquise de Pompadour,"24, 55, 69, 5",20
The blush of Madame de Pompadour's cheeks,Portrait of the Marquise de Pompadour,"21, 50, 50, 0",20
The dresses worn by Velazquez's infantas,"Infanta Margarita Teresa in a Blue Dress, 1659 ","80, 60, 40, 20",30
The dresses worn by Velazquez's infantas,"Infanta Margarita Teresa in a Pink Dress, 1660","11, 61, 62, 0",30
The dresses worn by Velazquez's infantas,"Portrait of the lnfanta Maria Theresa of Spain, 1651-53","19, 14, 11, 0",30
The dresses worn by Velazquez's infantas,"Maria Teresa, Infanta of Spain, 1651-54","34, 63, 100, 25",30
The dresses worn by Velazquez's infantas,"La infanta Margarita, 1653","20, 55, 87, 4",30
The dresses worn by Velazquez's infantas,"La infanta Margarita, 1656","32, 26, 39, 0",30
The dresses worn by Velazquez's infantas,"La infanta Maria Teresa, 1648","23, 26, 36, 0",30
The dresses worn by Velazquez's infantas,"Las Meninas, 1656","15, 18, 33, 0",30
Frans Hals's ruff collars,"Anna van der Aar, 1626 ","30, 34, 43, 0",34
Frans Hals's ruff collars,"Portrait of an Elderly Man, Heer Bodolphe, 1643","12, 6, 9, 0",34
Frans Hals's ruff collars,"Portrait of an Old Woman, 1633","6, 5, 7, 0",34
Frans Hals's ruff collars,"Portrait of a Couple, 1622","20, 17, 25, 0",34
Frans Hals's ruff collars,"Portrait of a Gentleman, Aged 37, 1637","15, 12, 28, 0",34
Frans Hals's ruff collars,"Portrait of a Lady, Aged 36, 1637","8, 7, 18, 0",34
Frans Hals's ruff collars,"Portrait of a Lady, 1627","16, 11, 13, 0",34
Frans Hals's ruff collars,"Portrait of a Man in His Thirties, 1633","7, 7, 19, 0",34
Frans Hals's ruff collars,"Portrait of a Woman (Marie Larp?), 1635-38","36, 29, 33, 0",34
Frans Hals's ruff collars,"Portrait of a Woman in a White Ruff, 1640","36, 29, 39, 0",34
Frans Hals's ruff collars,"Portrait of a Woman, 1635","10, 8, 16, 0",34
Frans Hals's ruff collars,"Portrait of a Woman, Probably Aeltje Dircksdr. Pater, 1638 ","21, 17, 27, 0",34
Frans Hals's ruff collars,"Portrait of an Elderly Lady, 1633 ","8, 7, 19, 0",34
Frans Hals's ruff collars,"Portrait of an Elderly Man, 1627-30","21, 18, 28, 0",34
Frans Hals's ruff collars,"Catharina Hooft and Her Nurse, 1620","24, 22, 17, 0",34
Frans Hals's ruff collars,"Portrait of Mrs. Bodolphe, 1643","6, 6, 8, 0",34
The pupils of the eyes in Vermeer's portraits,Allegory of the Catholic Faith,"64, 64, 76, 78",40
The pupils of the eyes in Vermeer's portraits,A Lady Writing,"64, 59, 73, 61",40
The pupils of the eyes in Vermeer's portraits,A Young Woman Seated at a Virginal,"66, 64, 73, 76",40
The pupils of the eyes in Vermeer's portraits,Girl with a Flute,"68, 61, 75, 78",40
The pupils of the eyes in Vermeer's portraits,Girl with a Pearl Earring,"61, 71, 73, 83",40
The pupils of the eyes in Vermeer's portraits,Girl with the Red Hat,"69, 64, 69, 77",40
The pupils of the eyes in Vermeer's portraits,Voman with a Lute,"60, 62, 73, 64",40
The pupils of the eyes in Vermeer's portraits,Young Woman Seated at a Virginal,"72, 66, 65, 73",40
The pupils of the eyes in Vermeer's portraits,Officer and Laughing Girl,"72, 66, 65, 73",40
The pupils of the eyes in Vermeer's portraits,Young Woman with a Pearl Necklace,"51, 65, 75, 58",40
The pupils of the eyes in Vermeer's portraits,The Guitar Player,"56, 63, 75, 61",40
The pupils of the eyes in Vermeer's portraits,The Milkmaid,"67, 68, 70, 83",40
The pupils of the eyes in Vermeer's portraits,The Procuress,"64, 67, 73, 81",40
The pupils of the eyes in Vermeer's portraits,Girl Interrupted at Her Music,"60, 58, 74, 52",40
The pupils of the eyes in Vermeer's portraits,Study of a Young Woman,"58, 69, 76, 78",40
The pupils of the eyes in Vermeer's portraits,Woman with a Water Jug,"58, 64, 58, 41",40
Caravaggio's Boy with a Basket of Fruit,White grapes,"32, 29, 56, 0",42
Caravaggio's Boy with a Basket of Fruit,Peach,"7, 12, 66, 0",42
Caravaggio's Boy with a Basket of Fruit,Black grapes,"79, 81, 49, 58",42
Caravaggio's Boy with a Basket of Fruit,Medlars,"23, 70, 100, 11",42
Caravaggio's Boy with a Basket of Fruit,Medlars,"51, 65, 64, 41",42
Caravaggio's Boy with a Basket of Fruit,Pomegranate seeds,"0, 91, 91, 0",42
Caravaggio's Boy with a Basket of Fruit,Pear,"23, 22, 82, 0",42
Caravaggio's Boy with a Basket of Fruit,Grape leaf,"61, 48, 73, 33",42
Caravaggio's Boy with a Basket of Fruit,Pomegranate seeds,"42, 37, 99, 11",42
Caravaggio's Boy with a Basket of Fruit,Striped apple,"14, 52, 85, 0",42
Caravaggio's Boy with a Basket of Fruit,Unripe fig,"37, 28, 80, 3",42
Caravaggio's Boy with a Basket of Fruit,Red grapes,"31, 100, 97, 41",42
"The yellow bills in John James Audubon's , The Birds of America","Plate 281, Great White Heron","8, 23, 89, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 108, Fox-Coloured Sparrow","4, 4, 56, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 431, American Flamingo","0, 4, 31, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 2n, Great Blue Heron","3, 3, 60, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 217, Louisiana Heron","3, 6, 41, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 221, Mallard Duck","0, 8, 7 1, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 224, Kittiwake Gull","3, 3, 62, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 242, Snowy Heron, or White Egret","3, 4, 79, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 71, Winter Hawk","6, 17, 79, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 262, Tropic Bird","3, 7, 50, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 75, Le Petit Caporal","0, 15, 77, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 386, Great White Heron","0, 16, 86, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 106, Black Vulture","3, 4, 31, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 305, Purple Gallinule","4, 11, 82, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 31, White-Headed Eagle","4, 9, 62, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 427, White-Legged Oyster Catcher","8, 22, 78, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 316, Black-Bellied Darter","3, 0, 46, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 321, Roseate Spoonbill","4, 0, 56, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 351, Great Cinereous Owl","3, 0, 34, 0",44
"The yellow bills in John James Audubon's , The Birds of America","Plate 386, White Heron","3, 3, 71, 0",44
"The blue bills in John James Audubon's, The Birds of America","Plate 105, Red-Breasted Nuthatch","19, 0, 5, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 12, Baltimore Oriole","41, 12, 0, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 181, Golden Eagle","35, 18, 24, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 222, White Ibis","42, 17, 23, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 213, Puffin","30, 10, 9, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 229, Scaup Duck","23, 10, 12, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 299, Dusky Petrel","13, 1, 2, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 307, Blue Crane, or Heron","33, 29, 10, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 273, Cayenne Tern","22, 20, 10, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 343, Ruddy Duck","11, 3, 3, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 345, American Widgeon","53, 27, 10, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 384, Black-Throated Bunting","28, 8, 16, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 42, Orchard Oriole","43, 14, 6, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 91, Broad-Winged Hawk","50, 14, 8, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 72, Swallow-Tailed Hawk","31, 15, 7, 0",46
"The blue bills in John James Audubon's, The Birds of America","Plate 56, Red-Shouldered Hawk","25, 3, 3, 0",46
"The roseate bills in John James Audubon's, The Birds of America","Plate 162, Zenaida Dove","7, 68, 42, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 167, Key West Dove","4, 99, 98, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 206, Summer or Wood Duck","6, 91, 76, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 222, White Ibis","3, 61, 40, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 249, Tufted Auk","3, 53, 32, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 25r, Brown Pelican","11, 62, 59, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Pbte 250, Arctic Tern","0, 84, 84, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 256, Purple Heron","3, 18, 26, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 273, Cayenne Tern","13, 94, 74, 3",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 276, King Duck","0, 59, 63, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 427, Slender-Billed Oyster Catcher","17, 100, 76, 6",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 309, Great Tern","15, 99, 100, 5",48
"The roseate bills in John James Audubon's, The Birds of America","Pl ate 314, Black-Headed Gull","3, 46, 25, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 323, Black Skimmer, or Shearwater","22, 100, 63, 9",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 331, Goosander","0, 73, 53, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 381, Snow Goose","5, 92, 82, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 397, Scarlet Ibis","0, 24, 16, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 401, Red-Breasted Merganser","0, 92, 80, 0",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 431, American Flamingo","15, 100, 81, 4",48
"The roseate bills in John James Audubon's, The Birds of America","Plate 240, Roseate Tern","0, 59, 49, 0",48
The blush of Marie Antoinette's cheeks,"Archduchess Marie Antoinette of Austria, 1762","10, 23, 32, 0",50
The blush of Marie Antoinette's cheeks,"Queen Marie-Antoinette in Hunting Attire, 1771","3, 25, 33, 0",50
The blush of Marie Antoinette's cheeks,"Portrait ofQieen Marie Antoinette of France, 1775","20, 48, 26, 0",50
The blush of Marie Antoinette's cheeks,"Marie-Antoinette, Qieen of France, 1788","11, 19, 26, 0",50
The blush of Marie Antoinette's cheeks,"Marie Antoinette in a Court Dress, 1778","13, 33, 29, 0",50
The blush of Marie Antoinette's cheeks,"Marie-Antoinette in Front of the Temple of Love, 1780","21, 43, 50, 0",50
The blush of Marie Antoinette's cheeks,"Marie Antoinette with the Rose, 1783","11, 26, 12, 0",50
The blush of Marie Antoinette's cheeks,"Marie-Antoinette, Queen of France, Riding, 1783","17, 26, 41, 0",50
The blush of Marie Antoinette's cheeks,"Marie Antoinette in a Chemise Dress, 1783","0, 30, 35, 0",50
The blush of Marie Antoinette's cheeks,"Marie Antoinette, Qieen of France and Navarre, 1787","11, 23, 44, 0",50
The blush of Marie Antoinette's cheeks,"Marie Antoinette, Qieen of France, in Coronation Robes, 1775","7, 37, 25, 0",50
The blush of Marie Antoinette's cheeks,"Portrait of Marie Antoinette, Bust Length, 1800","26, 54, 60, 5",50
Thanksgiving in America,"Wattle, Wild Turkey, John James Audubon, 1825","31, 76, 65, 21",52
Thanksgiving in America,"Pie Halo, Boy Watching Grandmother Trim Pie,J.C. Leyendecker, 1908","0, 46, 89, 0",52
Thanksgiving in America,"Reg's Socks, Cousin Reginald Catches the Thanksgiving Turkey, Norman Rockwell, 1917","16, 100, 84, 6",52
Thanksgiving in America,"Baby Bonnet, Thanksgiving at Plymouth.Jennie Augusta Brownscombe, 1925","23, 95, 100, 17",52
Thanksgiving in America,"Pink Floral Dress, Thanksgiving, Doris Lee, 1935","10, 43, 37, 0",52
Thanksgiving in America,"Celery, Freedom from Want, Norman Rockwell, 1943","16, 0, 43, 0",52
Thanksgiving in America,"Pickles, Freedom from Want, Norman Rockwell, 1943","67, 44, 88, 35",52
Thanksgiving in America,"Turkey, Catching the ThanksgivingTurkey, Grandma Moses, 1944","11, 27, 23, 0",52
Thanksgiving in America,"Turkey Pie, Turkey Shopping Bag, Roy Lichtenstein, 1964","7, 13, 84, 0",52
Thanksgiving in America,"Rose in Flower Arrangement, Thanksgiving, John Currin, 2003","10, 33, 30, 0",52
Thanksgiving in America,"Decorative Gourd, Harvest Display, Wayne Thiebaud, 2008","19, 82, 100, 9",52
Thanksgiving in America,"Pumpkin Filling, Pumpkin Cloud, Wayne Thiebaud, 2009","10, 32, 80, 0",52
"Seascapes, arranged along one horizon line","Splash, John Wesley, 1979","51, 26, 0, 0",54
"Seascapes, arranged along one horizon line","Cape Split, Maine,John Marin, 1945","77, 42, 54, 19",54
"Seascapes, arranged along one horizon line","Kissing the Moon, Winslow Homer, 1904","63, 43, 56, 17",54
"Seascapes, arranged along one horizon line","Pink Island, White Waves, Milton Avery, 1959","20, 11, 18, 0",54
"Seascapes, arranged along one horizon line","Approach of Rain, George Bellows, 1913","74, 24, 58, 5",54
"Seascapes, arranged along one horizon line","Wave, Night, Georgia O'Keeffe, 1928","83, 69, 41, 27",54
"Seascapes, arranged along one horizon line","Sea Grasses and Blue Sea, Milton Avery, 1958","89, 77, 7, 0",54
"Seascapes, arranged along one horizon line","Penobscot, Alex Katz, 1999","60, 39, 27, 3",54
"Seascapes, arranged along one horizon line","Rough Seas near Lobster Point, Robert Henri, 1903","43, 19, 29, 0",54
"Seascapes, arranged along one horizon line","Grey Sea, John Marin, 1938","49, 32, 27, 0",54
"Seascapes, arranged along one horizon line","Eight Bells, Winslow Homer, 1886","65, 41, 64, 20",54
"Seascapes, arranged along one horizon line","Untitled, Alex Katz, 1960","86, 58, 41, 21",54
The mountaintops of the diorama paintings in the American Museum of Natural History,"Alaskan Moose, Hall of North American Mammals","17, 27, 17, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Bighorn Sheep, Hall of North American Mammals","23, 13, 0, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Black Rhinoceros, Hall of African Mammals","19, 0, 3, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Dall Sheep, Hall of North American Mammals","14, 12, 0, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Gorilla, Hall of African Mammals","33, 28, 4, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Grant Caribou, Hall of North American Mammals","37, 24, 3, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Northern Flying Squirrel, Hall of North American Mammals","40, 7, 0, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Northern Elephant Seal, Milstein Hall of Ocean Life","32, 8, 0, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Alaska Brown Bear, Hall of North American Mammals","38, 47, 0, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Mountain Goat, Hall of North American Mammals","42, 17, 11, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Musk Ox, Hall of North American Mammals","25, 20, 3, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"American Bison and Pronghorn, Hall of North American Mammals","40, 34, 8, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Water Hole, Hall of African Mammals","53, 46, 0, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Ostrich, Ha.II of African .Mammals","28, 19, 0, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Wapiti, Hall of North American Mammals","27, 31, 10, 0",60
The mountaintops of the diorama paintings in the American Museum of Natural History,"Osborn Caribou, Hill of North American Mammals","50, 44, 0, 0",60
Helen Frankenthaler's orange color fields,"Burnt Orange Roof, 1961","22, 94, 100, 14",62
Helen Frankenthaler's orange color fields,"Untitled, 1961","18, 69, 95, 5",62
Helen Frankenthaler's orange color fields,"Dawn Shapes, 1963","13, 41, 79, 0",62
Helen Frankenthaler's orange color fields,"Only Orange, 1963","16, 60, 100, 3",62
Helen Frankenthaler's orange color fields,"Sarurn, 1963","7 , 40, 89 , 0",62
Helen Frankenthaler's orange color fields,"Untitled (Helen), circa 1963","12, 60, 93, 0",62
Helen Frankenthaler's orange color fields,"Untitled, 1963","20, 75, 96, 9",62
Helen Frankenthaler's orange color fields,"Orange Mood, 1966","9, 77, 100, 0",62
Helen Frankenthaler's orange color fields,"Orange Lozenge, 1967","11, 89, 100, 3",62
Helen Frankenthaler's orange color fields,"Spices, 1968","0, 62, 100, 0",62
Helen Frankenthaler's orange color fields,"Orange Downpour, 1970","3, 38, 75, 0",62
Helen Frankenthaler's orange color fields,"Crusades, 1976","0, 66, 100, 0",62
Charles Burch field's violets and violas,"The Violet, 1959","50, 45, 21, 0",64
Charles Burch field's violets and violas,"Violets, 1917","37, 43,13, 0",64
Charles Burch field's violets and violas,"White Violets under Pine Bough, 1952","18, 34, 3, 0",64
Charles Burch field's violets and violas,"The Woodpecker, 1955-63","60, 60, 4, 0",64
Charles Burch field's violets and violas,"White Violets and Abandoned Coal Mine, 1918","4, 0, 3, 0",64
The stripes in Alice Neel's portraits,"Connie, circa 1945 ","22, 96, 78, 13",66
The stripes in Alice Neel's portraits,"Abe's Grandchildren, 1964","71, 60, 43, 23",66
The stripes in Alice Neel's portraits,"Hartley and Ginny, 1970","16, 18, 97, 0",66
The stripes in Alice Neel's portraits,"Benny and Mary Ellen Andrews, 1972","25, 69, 40, 3",66
The stripes in Alice Neel's portraits,"Faith Ringgold, 1977","91, 77, 27, 11",66
The stripes in Alice Neel's portraits,"Horace Clayton, 1949","69, 53, 81, 57",66
The stripes in Alice Neel's portraits,"Georgie Arce No. 2, 1955","78, 45, 36, 8",66
The stripes in Alice Neel's portraits,"Ginny in Striped Shirt, 1969","96, 86, 42, 40",66
The stripes in Alice Neel's portraits,"Hartley with a Cat, 1969","100, 98, 24, 11",66
The stripes in Alice Neel's portraits,"lsabetta, 1934-35","24, 97, 91, 19",66
The stripes in Alice Neel's portraits,"Jackie Curtis and Rita Red, 1970","44, 30, 91, 6",66
The stripes in Alice Neel's portraits,"Man with Pipe (John Rothschild), 1979","22, 78, 82, 11",66
The stripes in Alice Neel's portraits,"Portrait of Girl in Blue Chair, 1970","87, 68, 19, 4",66
The stripes in Alice Neel's portraits,"Portrait of Sari Dienes, 1976","67, 58, 36 , 13",66
The stripes in Alice Neel's portraits,"Richard Gibbs, 1968","0, 80, 100, 0",66
The stripes in Alice Neel's portraits,"Untitled, 1974","84, 67, 28, 10",66
The stripes in Alice Neel's portraits,"Portrait of Sarah Elizabeth Hewitt, Niece of Lida Moser, 1966","71, 33, 84, 19",66
The stripes in Alice Neel's portraits,"The Family, 1982","78, 45, 36, 8",66
The stripes in Alice Neel's portraits,"Georgie Arce No. 2, 1955","82, 71, 53, 54",66
The stripes in Alice Neel's portraits,"Self Portrait, 1980","89, 81, 0, 0",66
The flesh tones of Lucian Freud's ex-wives,"Girl with a l{jnen, 1947","10, 13,  28, 0",68
The flesh tones of Lucian Freud's ex-wives,"Girl with Roses, 1947","6, 13, 18, 0",68
The flesh tones of Lucian Freud's ex-wives,"Girl with Leaves, 1948","9, 10, 9, 0",68
The flesh tones of Lucian Freud's ex-wives,"Girl in a Dark Jacket, 1947","12, 9, 27, 0",68
The flesh tones of Lucian Freud's ex-wives,"Girl with a White Dog, 1950","16, 19, 24, 0",68
The flesh tones of Lucian Freud's ex-wives,"Portrait of Kitty, 1948","27, 40, 51, 0",68
The flesh tones of Lucian Freud's ex-wives,"Girl in Bed, 1952","32, 47, 86, 10",68
The flesh tones of Lucian Freud's ex-wives,"Girl Reading, 1952","29, 47, 100, 8",68
The flesh tones of Lucian Freud's ex-wives,"Hotel Bedroom, 1954","6, 8, 19, 0",68
The flesh tones of Lucian Freud's ex-wives,"Girl in a Green Dress, 1954","26, 24, 48, 0",68
The flesh tones of Lucian Freud's ex-wives,"Girl by the Sea, 1956","8, 29, 50, 0",68
The flesh tones of Lucian Freud's ex-wives,"The Sisters, 1950","22, 32, 61, 0",68
Fairfield Porter's skies,"Calm Morning, 1961","28, 21, 26, 0",70
Fairfield Porter's skies,"Cove Bridge, 1965","21, 10, 19, 0",70
Fairfield Porter's skies,"Daffodils and Pear Tree, 1973","16, 12, 7, 0",70
Fairfield Porter's skies,"Farmscape, 1966","35, 23, 25, 0",70
Fairfield Porter's skies,"Girl in a Landscape, 1965","58, 24, 45, 0",70
Fairfield Porter's skies,"Islands, 1968","30, 24, 37, 0",70
Fairfield Porter's skies,"Morning Sky, 1972","11, 9, 16, 0",70
Fairfield Porter's skies,"Steep Bank Beach, 1972","22, 9, 21, 0",70
Fairfield Porter's skies,"Trees in Bloom, 1968","10, 0, 9, 0",70
Fairfield Porter's skies,"Under the Elm, 1971","30, 20, 37, 0",70
Fairfield Porter's skies,"View from Bear Island, 1968","18, 0, 4, 0",70
Fairfield Porter's skies,"The First of May, 1960","36, 27, 27, 0",70
"The artist's palette, from Anguissola to Botero","William Hogarth, 1757-58","14, 14, 28, 0",82
"The artist's palette, from Anguissola to Botero","Fernando Botero, 1973","15, 77, 96, 3",82
"The artist's palette, from Anguissola to Botero","Sofonisba Anguissola, 1556-57","12, 88, 87, 2",82
"The artist's palette, from Anguissola to Botero","Florine Stettheimer, 1915","21, 29, 86, 0",82
"The artist's palette, from Anguissola to Botero","Fernando Botero, 2011","47, 21, 68, 0",82
"The artist's palette, from Anguissola to Botero","Fernando Botero, 1963","92, 82, 21, 7",82
The blues of David Hockney's pools,"Water Pouring into Swimming Pool, Santa Monica, 1964","56, 24, 35, 0",84
The blues of David Hockney's pools,"Portrait of Nick Wilder, 1966","92, 64, 35, 17",84
The blues of David Hockney's pools,"Peter Getting out of Nick's Pool, 1966","80, 43, 10, 0",84
The blues of David Hockney's pools,"Sunbather, 1966","84, 43, 0, 0",84
The blues of David Hockney's pools,"A Bigger Splash, 1967","73, 30, 27, 0",84
The blues of David Hockney's pools,"Pool and Steps, 1971","38, 12, 14, 0",84
The blues of David Hockney's pools,"Portrait of an Artist (Pool with Two Figures), 1972","82, 45, 22, 3",84
The blues of David Hockney's pools,"Poster for Olyrnpische Spiele Miinchen, 1972","53, 25, 8, 0",84
The blues of David Hockney's pools,"Gregory in the Pool E 9Paper Pool 4), 1978","58,25,16,0",84
The blues of David Hockney's pools,"Steps with Shadow F (Paper Poo 2), 1978","80, 40, 24, 0",84
The blues of David Hockney's pools,"A Large Diver (Paper Pool 27), 1978","37, 20, 0, 0",84
The blues of David Hockney's pools,"Afternoon Swimming, 1979-80","83, 56, 0, 0",84
The blues of David Hockney's pools,"Pool Made with Paper and Blue Ink for Book, 1980","67, 35, 6, 0",84
The blues of David Hockney's pools,"Lithographic Water made oflincs and crayon, 1980","84, 56, 21, 3",84
The blues of David Hockney's pools,"My Pool and Terrace, 1983","6, 0, 0, 0",84
The blues of David Hockney's pools,"California Copied From 1965 Painting in 1987, 1987","100, 83, 29, 15",84
Botero's beverages,"The Card Players, 2011","8, 33, 81, 0",86
Botero's beverages,"Una festa (A Party), 2012","0, 81, 66, 0",86
Botero's beverages,"Couple (Woman Drinking), 1999","13, 91, 81, 3",86
Botero's beverages,"Couple with Still Life, 2013","13, 32, 97, 0",86
Botero's beverages,"Still Life with white curtain, 2013","21, 93, 80, 11",86
Botero's beverages,"Dancers, 2010","17, 51, 97, 3",86
Botero's beverages,"Kitchen Table, 2002","36, 90, 73, 49",86
Botero's beverages,"Natura morta con cipolla, 2001","13, 15, 92, 0",86
Botero's beverages,"Naturaleza muerta, 1995","0, 45, 96, 0",86
Botero's beverages,"Nudist Family, 2009","24, 93, 80, 17",86
Botero's beverages,"Picnic, 1989","22, 85, 80, 11",86
